FN,IF,FT
1,3,3
2,30,33
3,113,146
4,81,227
5,115,342
6,9,351
7,2,353
8,91,444
9,112,556
10,15,571
11,138,709
12,50,759
13,77,836
14,24,860
15,108,968
16,88,1056
17,670,1726
18,120,1846
19,26,1872
20,114,1986
21,325,2311
22,55,2366
23,242,2608
24,68,2676
25,422,3098
26,180,3278
27,10,3288
28,1146,4434
29,600,5034
30,15,5049
31,36,5085
32,4,5089
33,0,5089
34,8,5097
35,227,5324
36,65,5389
37,176,5565
38,58,5623
39,457,6080
40,300,6380
41,97,6477
42,263,6740
43,452,7192
44,255,7447
45,197,7644
46,193,7837
47,6,7843
48,79,7922
49,816,8738
50,1351,10089
51,148,10237
52,21,10258
53,233,10491
54,134,10625
55,357,10982
56,193,11175
57,236,11411
58,31,11442
59,369,11811
60,748,12559
61,0,12559
62,232,12791
63,330,13121
64,365,13486
65,1222,14708
66,543,15251
67,10,15261
68,16,15277
69,529,15806
70,379,16185
71,44,16229
72,129,16358
73,810,17168
74,290,17458
75,300,17758
76,529,18287
77,281,18568
78,160,18728
79,828,19556
80,1011,20567
81,445,21012
82,296,21308
83,1755,23063
84,1064,24127
85,1783,25910
86,860,26770
87,983,27753
88,707,28460
89,33,28493
90,868,29361
91,724,30085
92,2323,32408
93,2930,35338
94,1461,36799
95,843,37642
96,12,37654
97,261,37915
98,1800,39715
99,865,40580
100,1435,42015
101,30,42045
102,143,42188
103,108,42296
104,0,42296
105,3110,45406
106,1247,46653
107,943,47596
108,700,48296
109,875,49171
110,245,49416
111,729,50145
112,1897,52042
113,447,52489
114,386,52875
115,446,53321
116,122,53443
117,990,54433
118,948,55381
119,1082,56463
120,22,56485
121,75,56560
122,482,57042
123,5509,62551
124,100,62651
125,10,62661
126,1071,63732
127,371,64103
128,790,64893
129,6150,71043
130,3321,74364
131,1045,75409
132,648,76057
133,5485,81542
134,1160,82702
135,1864,84566
136,4116,88682
